Branching Factor,Num Examples,Accuracy,Training Time (s),Test Time (s)
3,1,0.102,0.0001628398895263672,0.7428309917449951
3,1,0.1026,0.00016999244689941406,0.7992818355560303
3,1,0.1365,0.0001800060272216797,0.7085220813751221
3,1,0.0996,0.00017189979553222656,0.8059790134429932
3,1,0.1099,0.00017499923706054688,0.7754819393157959
3,1,0.1193,0.0001461505889892578,0.6592240333557129
3,1,0.0978,0.0001609325408935547,0.7276670932769775
3,1,0.1198,0.00016188621520996094,0.721815824508667
3,1,0.0827,0.000164031982421875,0.7434790134429932
3,1,0.1144,0.0001780986785888672,0.7103838920593262
3,10,0.1981,0.0008480548858642578,1.3938789367675781
3,10,0.121,0.0007691383361816406,1.3885228633880615
3,10,0.0999,0.000720977783203125,1.2826950550079346
3,10,0.1423,0.0008699893951416016,1.7413380146026611
3,10,0.1052,0.0010399818420410156,1.5243830680847168
3,10,0.1041,0.0009348392486572266,1.2819709777832031
3,10,0.1397,0.0008709430694580078,1.5716099739074707
3,10,0.141,0.0008540153503417969,1.5618250370025635
3,10,0.1084,0.0010409355163574219,1.9608240127563477
3,10,0.11,0.0008909702301025391,1.4047210216522217
3,100,0.1528,0.016311168670654297,3.19134521484375
3,100,0.1454,0.013984918594360352,3.119575023651123
3,100,0.1348,0.02216196060180664,4.076333999633789
3,100,0.1715,0.017567157745361328,3.028773069381714
3,100,0.1829,0.018110990524291992,3.8432040214538574
3,100,0.175,0.0228879451751709,3.2861320972442627
3,100,0.1744,0.014758110046386719,3.161111831665039
3,100,0.1938,0.01593184471130371,3.3754680156707764
3,100,0.1695,0.01638197898864746,3.4518849849700928
3,100,0.1449,0.02396416664123535,3.3714630603790283
3,1000,0.1908,0.3319249153137207,5.393371820449829
3,1000,0.1982,0.3269479274749756,5.353589057922363
3,1000,0.2071,0.30974721908569336,5.8098249435424805
3,1000,0.1933,0.3015890121459961,5.249057054519653
3,1000,0.191,0.2638270854949951,4.870419025421143
3,1000,0.1948,0.27419304847717285,5.112668991088867
3,1000,0.2031,0.29578089714050293,5.447169065475464
3,1000,0.1968,0.2913370132446289,4.901349067687988
3,1000,0.2097,0.28846192359924316,5.218548059463501
3,1000,0.1943,0.33405399322509766,5.818519115447998
3,5000,0.2177,2.193828821182251,7.063605070114136
3,5000,0.215,2.290581226348877,7.359288930892944
3,5000,0.215,2.0440521240234375,7.080382823944092
3,5000,0.2249,1.9359278678894043,6.873435974121094
3,5000,0.2122,1.9438278675079346,6.901684999465942
3,5000,0.2162,2.1879489421844482,7.075500011444092
3,5000,0.2137,2.1082611083984375,7.08713698387146
3,5000,0.2225,1.9095499515533447,6.865005016326904
3,5000,0.2167,2.2243409156799316,7.760615110397339
3,5000,0.2122,1.8136799335479736,6.623630046844482
3,10000,0.2326,4.3103978633880615,7.758610963821411
3,10000,0.229,4.7421348094940186,7.668944835662842
3,10000,0.2342,4.728771209716797,7.583134174346924
3,10000,0.2279,4.599531888961792,7.540178060531616
3,10000,0.2259,4.569260835647583,7.821156978607178
3,10000,0.221,4.64886999130249,7.241020917892456
3,10000,0.2329,4.534144163131714,7.837410926818848
3,10000,0.2325,4.555052995681763,7.442451000213623
3,10000,0.2229,4.488470077514648,7.311536073684692
3,10000,0.2165,4.9709320068359375,7.8459930419921875
3,20000,0.2347,10.131709098815918,8.403958082199097
3,20000,0.2364,10.660552978515625,8.666188955307007
3,20000,0.2344,10.632335901260376,8.813728094100952
3,20000,0.2343,9.96867299079895,8.410842895507812
3,20000,0.2293,10.463367938995361,8.447105884552002
3,20000,0.2292,10.406259059906006,8.521403074264526
3,20000,0.2424,10.924907207489014,8.42848801612854
3,20000,0.2365,9.844311952590942,8.308682918548584
3,20000,0.2295,10.003389835357666,9.064382076263428
3,20000,0.2296,10.665358066558838,8.422492980957031
3,30000,0.2437,15.507555961608887,8.667836904525757
3,30000,0.2452,15.118666887283325,8.41152310371399
3,30000,0.2411,14.986829996109009,8.293978214263916
3,30000,0.2524,16.175196886062622,8.8819100856781
3,30000,0.2377,15.207844018936157,8.50026798248291
3,30000,0.2402,17.25021004676819,9.35545301437378
3,30000,0.2461,16.12441611289978,9.78362512588501
3,30000,0.2427,15.548220872879028,8.948168992996216
3,30000,0.2437,16.59184503555298,9.047338008880615
3,30000,0.2361,16.62678599357605,8.657104969024658
3,40000,0.2453,20.55511784553528,8.589307069778442
3,40000,0.2497,21.577733993530273,9.135952949523926
3,40000,0.2526,22.79551100730896,9.446205139160156
3,40000,0.2537,22.29414987564087,9.240173101425171
3,40000,0.2521,22.592648029327393,9.090049982070923
3,40000,0.261,22.812515020370483,9.466541051864624
3,40000,0.248,23.248952865600586,9.173686981201172
3,40000,0.2501,21.76894998550415,8.69021201133728
3,40000,0.2502,22.426780939102173,8.871932983398438
3,40000,0.247,21.292797088623047,8.947535037994385
3,50000,0.2542,30.047590017318726,10.17089295387268
3,50000,0.2499,28.230623960494995,9.191579818725586
3,50000,0.2421,30.671250104904175,9.987703084945679
3,50000,0.2613,27.52782106399536,9.496363162994385
3,50000,0.2573,29.43668794631958,9.642847061157227
3,50000,0.2552,28.250903129577637,9.064465045928955
3,50000,0.2493,28.444496870040894,9.062627077102661
3,50000,0.259,28.55742383003235,8.786664962768555
3,50000,0.2595,28.146416902542114,9.531333208084106
3,50000,0.2544,29.265038013458252,9.227785110473633
