Branching Factor,Num Examples,Accuracy,Training Time (s),Test Time (s),Number of Examples,Accuracy %,Training Time (s),Testing Time (s)
-1,1,0.1151,0.000288963,1.314395905,1,15.267,0.000226974,1.290954614
-1,1,0.175,0.000224113,1.21013689,10,32.354,0.002223516,3.44748559
-1,1,0.1407,0.000200987,1.234205008,100,54.698,0.055744147,7.662768459
-1,1,0.1078,0.000230074,1.381649017,1000,72.046,1.036104107,13.96624794
-1,1,0.1709,0.000203848,1.273483038,10000,83.087,19.41442089,25.40894127
-1,1,0.1435,0.000221014,1.172315121,20000,84.839,45.88666723,29.45236273
-1,1,0.1468,0.000239849,1.362350941,30000,85.919,72.3928823,31.41093602
-1,1,0.1497,0.000226974,1.366262197,40000,86.992,112.7032518,35.75155199
-1,1,0.1847,0.000211,1.32694006,50000,87.566,135.2167266,35.00139227
-1,1,0.1925,0.000222921,1.267807961,60000,87.952,167.4871073,36.10234139
-1,10,0.2902,0.002137899,3.350534916,,,,
-1,10,0.4043,0.00264883,3.235627174,,,,
-1,10,0.2845,0.0029459,3.906912088,,,,
-1,10,0.2608,0.002151012,3.359581947,,,,
-1,10,0.4032,0.001979828,3.362739086,,,,
-1,10,0.3572,0.001952887,3.942448854,,,,
-1,10,0.2713,0.001955986,2.689803123,,,,
-1,10,0.2958,0.00235796,3.219570875,,,,
-1,10,0.3701,0.002122879,3.628185034,,,,
-1,10,0.298,0.001981974,3.779452801,,,,
-1,100,0.5567,0.052466154,6.525343895,,,,
-1,100,0.5117,0.048432827,6.738274813,,,,
-1,100,0.5365,0.053131104,7.944447041,,,,
-1,100,0.5557,0.059271097,9.398495913,,,,
-1,100,0.5015,0.05114603,7.08601594,,,,
-1,100,0.5582,0.065468073,8.653819084,,,,
-1,100,0.5736,0.060799122,7.899946928,,,,
-1,100,0.5398,0.062745094,8.020810127,,,,
-1,100,0.5643,0.047301054,6.65841198,,,,
-1,100,0.5718,0.056680918,7.702118874,,,,
-1,1000,0.7066,0.964699984,13.48655391,,,,
-1,1000,0.7292,1.103240013,15.62758303,,,,
-1,1000,0.7449,1.144365072,14.73642015,,,,
-1,1000,0.7299,1.066465855,14.06312203,,,,
-1,1000,0.7109,1.092917919,14.66632009,,,,
-1,1000,0.71,0.855643988,11.75933003,,,,
