Branching Factor,Num Examples,Accuracy,Training Time (s),Test Time (s)
10,1,0.1151,0.00027298927307128906,1.3260438442230225
10,1,0.175,0.0002288818359375,1.2076561450958252
10,1,0.1407,0.0002570152282714844,1.228205919265747
10,1,0.1078,0.00020885467529296875,1.386164903640747
10,1,0.1709,0.0001850128173828125,1.2740099430084229
10,1,0.1435,0.00021219253540039062,1.1784038543701172
10,1,0.1468,0.00021600723266601562,1.3893771171569824
10,1,0.1497,0.00021719932556152344,1.3749759197235107
10,1,0.1847,0.0002079010009765625,1.3237168788909912
10,1,0.1925,0.0002269744873046875,1.2633280754089355
10,10,0.2902,0.0020220279693603516,3.3562488555908203
10,10,0.4043,0.0026891231536865234,3.2365589141845703
10,10,0.2845,0.0028951168060302734,3.9055440425872803
10,10,0.2608,0.0023407936096191406,3.3513782024383545
10,10,0.4032,0.002034902572631836,3.374876022338867
10,10,0.3572,0.001965045928955078,3.9935500621795654
10,10,0.2713,0.0018951892852783203,2.6825239658355713
10,10,0.2958,0.0023698806762695312,3.21429181098938
10,10,0.3701,0.0020699501037597656,3.626573085784912
10,10,0.298,0.0020830631256103516,3.7763190269470215
10,100,0.5567,0.04880094528198242,6.557054042816162
10,100,0.5117,0.05447101593017578,6.81888484954834
10,100,0.5142,0.05104804039001465,7.258446931838989
10,100,0.5218,0.05646181106567383,7.2304368019104
10,100,0.4737,0.048722028732299805,7.0232038497924805
10,100,0.5602,0.06187295913696289,8.080029964447021
10,100,0.5541,0.0609278678894043,7.755073070526123
10,100,0.5432,0.05713510513305664,7.253948926925659
10,100,0.5643,0.04688906669616699,6.655192852020264
10,100,0.5726,0.05376291275024414,7.139243125915527
10,1000,0.6842,0.9610600471496582,11.512766122817993
10,1000,0.7227,0.9694969654083252,11.756355047225952
10,1000,0.7237,0.9123520851135254,11.297445058822632
10,1000,0.705,0.912736177444458,11.27261209487915
10,1000,0.7122,0.9118800163269043,11.217468023300171
10,1000,0.6925,0.8377680778503418,10.911370992660522
10,1000,0.7122,0.9048500061035156,11.258662939071655
10,1000,0.7091,0.9345459938049316,11.533170938491821
10,1000,0.6981,0.9427468776702881,11.880768060684204
10,1000,0.7012,0.8675179481506348,10.869463920593262
10,10000,0.8211,12.812465190887451,15.338860988616943
10,10000,0.8175,12.543361902236938,15.119302988052368
10,10000,0.8177,13.137503147125244,15.035154819488525
10,10000,0.826,12.623995065689087,14.988435983657837
10,10000,0.8254,12.60022497177124,14.925885200500488
10,10000,0.83,13.091103076934814,15.751564025878906
10,10000,0.8118,12.630171775817871,14.996336936950684
10,10000,0.8107,12.8193199634552,15.237154006958008
10,10000,0.8231,12.758473873138428,15.392719984054565
10,10000,0.8209,12.697611808776855,15.196133136749268
10,20000,0.8451,27.78015899658203,16.37926721572876
10,20000,0.8404,27.50347590446472,16.03224802017212
10,20000,0.8402,29.416409015655518,17.31373906135559
10,20000,0.8384,27.15233612060547,16.295502185821533
10,20000,0.855,27.9633948802948,16.50885796546936
10,20000,0.8377,27.363394021987915,16.131664991378784
10,20000,0.8465,26.817911863327026,15.838191032409668
10,20000,0.8507,27.68329882621765,16.286181926727295
10,20000,0.839,28.868818044662476,16.91943597793579
10,20000,0.8351,30.029903173446655,17.514770984649658
10,30000,0.8598,42.78813886642456,16.812144994735718
10,30000,0.8529,42.27783203125,16.696304082870483
10,30000,0.8569,43.2838499546051,16.849613904953003
10,30000,0.8557,43.05856490135193,16.932300090789795
10,30000,0.8586,45.138437032699585,17.60601496696472
10,30000,0.8597,44.199390172958374,17.037280082702637
10,30000,0.8435,42.24193215370178,16.7055721282959
10,30000,0.8616,43.13849115371704,16.907557010650635
10,30000,0.8504,42.47509789466858,16.577507972717285
10,30000,0.8454,45.92549681663513,17.93439507484436
10,40000,0.8587,57.480193853378296,16.97839903831482
10,40000,0.8592,59.905076026916504,17.787195205688477
10,40000,0.8589,58.54738712310791,17.160337209701538
10,40000,0.8586,58.71963405609131,17.196230173110962
10,40000,0.8582,58.45244598388672,17.20075011253357
10,40000,0.8607,59.54741597175598,17.43878984451294
10,40000,0.864,60.35430693626404,17.80088996887207
10,40000,0.8615,59.57105016708374,17.548484802246094
10,40000,0.8615,61.71407699584961,17.601479053497314
10,40000,0.8606,58.55921506881714,17.106081008911133
10,50000,0.8639,76.18917489051819,17.937931060791016
10,50000,0.8688,76.36526107788086,18.130247116088867
10,50000,0.869,76.57632899284363,17.879690170288086
10,50000,0.8716,78.45574688911438,18.35185694694519
10,50000,0.8608,75.6842589378357,17.685745000839233
10,50000,0.8668,74.86510705947876,17.40215301513672
10,50000,0.8732,76.57909798622131,17.736389875411987
10,50000,0.8626,75.12831401824951,17.702057123184204
10,50000,0.8677,76.42167806625366,17.716996908187866
10,50000,0.8647,79.40813183784485,18.307487964630127
10,60000,0.8776,93.39377307891846,18.194701194763184
10,60000,0.8709,97.64907312393188,18.22235608100891
10,60000,0.8745,99.63502097129822,19.21327805519104
10,60000,0.8685,90.41545605659485,17.554890155792236
10,60000,0.8744,91.1979968547821,17.77712893486023
10,60000,0.874,91.20289993286133,17.792837858200073
10,60000,0.8725,91.31281185150146,17.990982055664062
10,60000,0.872,96.92195701599121,18.663816928863525
10,60000,0.8776,93.66634893417358,18.091294050216675
10,60000,0.8777,92.82183003425598,18.09588599205017
