Branching Factor,Num Examples,Accuracy,Training Time (s),Test Time (s)
-1,1,0.1,0.0001609325408935547,0.43999695777893066
-1,1,0.108,0.0001709461212158203,0.9100909233093262
-1,1,0.1354,0.000141143798828125,0.8698790073394775
-1,1,0.1069,0.00018596649169921875,0.8816039562225342
-1,1,0.0994,0.0001728534698486328,1.0818188190460205
-1,1,0.0876,0.00022792816162109375,0.9280610084533691
-1,1,0.0912,0.0002009868621826172,0.971005916595459
-1,1,0.1047,0.00020194053649902344,0.6906561851501465
-1,1,0.1196,0.00015497207641601562,0.7516980171203613
-1,1,0.1509,0.00019502639770507812,0.7900021076202393
-1,10,0.1561,0.0008828639984130859,1.8897919654846191
-1,10,0.1633,0.0008790493011474609,2.0402138233184814
-1,10,0.1493,0.0008840560913085938,1.681854009628296
-1,10,0.1283,0.001188039779663086,2.0505409240722656
-1,10,0.1154,0.0008971691131591797,1.5581889152526855
-1,10,0.0736,0.0009560585021972656,1.6627888679504395
-1,10,0.1621,0.0009100437164306641,1.7206828594207764
-1,10,0.1263,0.0007429122924804688,1.4987461566925049
-1,10,0.1124,0.001538991928100586,1.539698839187622
-1,10,0.1469,0.0010471343994140625,1.7823479175567627
-1,100,0.1668,0.040040016174316406,8.246177911758423
-1,100,0.187,0.024372100830078125,4.8781468868255615
-1,100,0.168,0.02320384979248047,4.983427047729492
-1,100,0.1602,0.027475833892822266,6.424572944641113
-1,100,0.1676,0.03354215621948242,8.862548828125
-1,100,0.1571,0.020106792449951172,3.8549630641937256
-1,100,0.1654,0.0204470157623291,4.45764684677124
-1,100,0.1751,0.02558588981628418,4.89336895942688
-1,100,0.1879,0.024380207061767578,4.947494029998779
-1,100,0.172,0.02249908447265625,4.22399115562439
-1,1000,0.2132,0.7544798851013184,12.135127067565918
-1,1000,0.2,0.56455397605896,10.87605905532837
-1,1000,0.2156,0.513620138168335,10.852313041687012
-1,1000,0.2053,0.47617006301879883,8.659285068511963
-1,1000,0.208,0.48535895347595215,11.565299034118652
-1,1000,0.2036,0.5911080837249756,11.897637844085693
-1,1000,0.2077,0.4381730556488037,10.551701068878174
-1,1000,0.1984,0.9921469688415527,22.298861980438232
-1,1000,0.2106,0.45388293266296387,9.65330195426941
-1,1000,0.2068,0.4581599235534668,9.419623136520386
-1,5000,0.224,6.9452598094940186,30.219861030578613
-1,5000,0.2326,6.010967016220093,24.757106065750122
-1,5000,0.2188,3.875779151916504,15.217694997787476
-1,5000,0.2368,5.987468004226685,24.72726011276245
-1,5000,0.219,5.2258360385894775,21.628201961517334
-1,5000,0.2302,8.203281879425049,33.76256513595581
-1,5000,0.2228,4.454162120819092,18.425832986831665
-1,5000,0.2305,4.877479076385498,20.00397300720215
-1,5000,0.2239,6.055000066757202,24.50389003753662
-1,5000,0.2314,5.740959167480469,23.49741816520691
-1,10000,0.2375,13.26164698600769,24.899776935577393
-1,10000,0.2413,12.245718955993652,24.725101947784424
-1,10000,0.2431,15.152431011199951,31.23728084564209
-1,10000,0.2395,17.957959175109863,39.14624905586243
-1,10000,0.2496,16.16587805747986,32.89503312110901
-1,10000,0.2539,19.845796823501587,40.826992988586426
-1,10000,0.2395,13.700217008590698,29.376021146774292
-1,10000,0.237,14.22621202468872,28.955421924591064
-1,10000,0.2395,15.175903081893921,33.174407958984375
-1,10000,0.2446,13.11800217628479,26.906466007232666
-1,20000,0.2589,44.205678939819336,48.2980740070343
-1,20000,0.2553,58.887564182281494,59.749939918518066
-1,20000,0.2548,65.79568815231323,67.55444407463074
-1,20000,0.2553,31.114672899246216,31.54608988761902
-1,20000,0.255,33.404183864593506,33.71362614631653
-1,20000,0.2611,43.66596293449402,43.539167165756226
-1,20000,0.2508,41.59514808654785,40.86072611808777
-1,20000,0.2656,46.599082946777344,47.8752658367157
-1,20000,0.2495,35.473816871643066,36.07955193519592
-1,20000,0.254,40.09265089035034,41.39111590385437
-1,30000,0.2592,98.38020515441895,70.7057569026947
-1,30000,0.261,43.67604303359985,29.009546995162964
-1,30000,0.2748,74.24293804168701,48.48313117027283
-1,30000,0.267,56.96813201904297,38.570415019989014
-1,30000,0.2659,54.1831488609314,37.000951051712036
-1,30000,0.2646,75.0457410812378,52.199602127075195
-1,30000,0.2635,61.24102807044983,42.94014096260071
-1,30000,0.2639,45.15518617630005,30.29443597793579
-1,30000,0.2649,47.324716091156006,30.71025800704956
-1,30000,0.2653,78.33505201339722,56.736912965774536
-1,40000,0.2621,106.96118903160095,56.62953996658325
-1,40000,0.2672,81.1369879245758,39.548771142959595
-1,40000,0.2663,69.32568883895874,35.571529150009155
-1,40000,0.2664,92.97882008552551,51.288020849227905
-1,40000,0.2698,75.67284107208252,41.55776286125183
-1,40000,0.2678,99.17004013061523,54.864094972610474
-1,40000,0.2652,85.37141299247742,45.400511026382446
-1,40000,0.2699,122.35553908348083,47.34422016143799
-1,40000,0.2666,80.00957489013672,41.79602098464966
-1,40000,0.2628,55.34440016746521,28.77993607521057
-1,50000,0.269,144.69968700408936,61.8275089263916
-1,50000,0.2717,173.5261950492859,73.38677787780762
-1,50000,0.2763,121.68958687782288,53.2130389213562
-1,50000,0.2716,173.85331678390503,75.5195460319519
-1,50000,0.2733,113.75319409370422,50.08420491218567
-1,50000,0.285,116.54597592353821,49.91703486442566
-1,50000,0.2662,118.72322702407837,51.89874482154846
-1,50000,0.2823,100.55399489402771,43.3937611579895
-1,50000,0.2615,106.97509002685547,45.14751100540161
-1,50000,0.2714,88.80433106422424,37.815157890319824
