Branching Factor,Num Examples,Accuracy,Training Time (s),Test Time (s)
-1,1,0.1151,0.00028896331787109375,1.3143959045410156
-1,1,0.175,0.00022411346435546875,1.210136890411377
-1,1,0.1407,0.0002009868621826172,1.2342050075531006
-1,1,0.1078,0.0002300739288330078,1.3816490173339844
-1,1,0.1709,0.00020384788513183594,1.2734830379486084
-1,1,0.1435,0.00022101402282714844,1.1723151206970215
-1,1,0.1468,0.00023984909057617188,1.3623509407043457
-1,1,0.1497,0.0002269744873046875,1.3662621974945068
-1,1,0.1847,0.0002110004425048828,1.3269400596618652
-1,1,0.1925,0.00022292137145996094,1.267807960510254
-1,10,0.2902,0.002137899398803711,3.3505349159240723
-1,10,0.4043,0.0026488304138183594,3.2356271743774414
-1,10,0.2845,0.0029458999633789062,3.906912088394165
-1,10,0.2608,0.002151012420654297,3.35958194732666
-1,10,0.4032,0.001979827880859375,3.362739086151123
-1,10,0.3572,0.0019528865814208984,3.942448854446411
-1,10,0.2713,0.0019559860229492188,2.689803123474121
-1,10,0.2958,0.002357959747314453,3.2195708751678467
-1,10,0.3701,0.0021228790283203125,3.6281850337982178
-1,10,0.298,0.001981973648071289,3.7794528007507324
-1,100,0.5567,0.05246615409851074,6.525343894958496
-1,100,0.5117,0.04843282699584961,6.738274812698364
-1,100,0.5365,0.053131103515625,7.944447040557861
-1,100,0.5557,0.05927109718322754,9.39849591255188
-1,100,0.5015,0.05114603042602539,7.086015939712524
-1,100,0.5582,0.06546807289123535,8.65381908416748
-1,100,0.5736,0.06079912185668945,7.899946928024292
-1,100,0.5398,0.0627450942993164,8.0208101272583
-1,100,0.5643,0.04730105400085449,6.658411979675293
-1,100,0.5718,0.056680917739868164,7.702118873596191
-1,1000,0.7066,0.9646999835968018,13.48655390739441
-1,1000,0.7292,1.1032400131225586,15.627583026885986
-1,1000,0.7449,1.1443650722503662,14.736420154571533
-1,1000,0.7299,1.0664658546447754,14.063122034072876
-1,1000,0.7109,1.0929179191589355,14.666320085525513
-1,1000,0.71,0.8556439876556396,11.759330034255981
-1,1000,0.7083,0.9964790344238281,13.115356922149658
-1,1000,0.7279,1.0572571754455566,13.678213119506836
-1,1000,0.7305,1.0825109481811523,14.452577114105225
-1,1000,0.7064,0.9974610805511475,14.077003002166748
-1,10000,0.8282,21.01914405822754,26.908771991729736
-1,10000,0.8363,20.229148864746094,25.655981063842773
-1,10000,0.84,21.19196605682373,27.31781792640686
-1,10000,0.8416,15.91733694076538,20.299397945404053
-1,10000,0.8103,20.707592964172363,26.711063861846924
-1,10000,0.8294,15.849508047103882,20.493752002716064
-1,10000,0.8372,25.035314798355103,34.46986699104309
-1,10000,0.8371,18.31685996055603,23.869300842285156
-1,10000,0.8346,16.74661612510681,21.548543214797974
-1,10000,0.814,19.13072109222412,26.814916849136353
-1,20000,0.8576,61.66135001182556,39.78095293045044
-1,20000,0.855,45.91117310523987,29.106553077697754
-1,20000,0.8442,41.310657024383545,25.859840154647827
-1,20000,0.8453,40.426265001297,25.438068151474
-1,20000,0.8543,43.49881100654602,28.041309118270874
-1,20000,0.847,44.877002000808716,29.145967960357666
-1,20000,0.855,42.999144077301025,28.595903873443604
-1,20000,0.8343,43.61081004142761,28.216517210006714
-1,20000,0.8492,44.5339560508728,28.400430917739868
-1,20000,0.842,50.03750395774841,31.93808388710022
-1,30000,0.8556,69.34894895553589,29.314226150512695
-1,30000,0.8591,73.54849100112915,33.19094800949097
-1,30000,0.8602,78.07528018951416,33.29628801345825
-1,30000,0.8509,76.00190901756287,33.66676592826843
-1,30000,0.8647,73.95372295379639,31.488130807876587
-1,30000,0.8544,64.38853096961975,27.620126962661743
-1,30000,0.8702,80.34616303443909,35.05118918418884
-1,30000,0.8592,61.357759952545166,26.147419929504395
-1,30000,0.8632,79.5255868434906,34.93413519859314
-1,30000,0.8544,67.38243007659912,29.400130033493042
-1,40000,0.8715,157.46291089057922,45.66540503501892
-1,40000,0.8616,101.55726194381714,32.29260993003845
-1,40000,0.8761,115.07680821418762,36.05853605270386
-1,40000,0.8609,115.54442310333252,38.693931102752686
-1,40000,0.8651,120.08629012107849,40.270901918411255
-1,40000,0.8718,114.35220289230347,36.425283908843994
-1,40000,0.8765,90.55010414123535,28.452468872070312
-1,40000,0.8733,102.14672803878784,32.65238809585571
-1,40000,0.8677,100.24707698822021,31.56827998161316
-1,40000,0.8747,110.00871205329895,35.43571496009827
-1,50000,0.8794,150.05392813682556,39.7293701171875
-1,50000,0.8758,144.7990050315857,36.02603197097778
-1,50000,0.8828,140.00515604019165,35.875190019607544
-1,50000,0.8711,127.70039510726929,32.758070945739746
-1,50000,0.8797,131.10355687141418,34.72797679901123
-1,50000,0.875,140.51316905021667,36.48149299621582
-1,50000,0.877,137.79495811462402,35.30742597579956
-1,50000,0.8693,119.17217206954956,30.233350038528442
-1,50000,0.8814,134.37943696975708,35.82400584220886
-1,50000,0.8651,126.64548897743225,33.051007986068726
-1,60000,0.8762,140.4682161808014,29.78217911720276
-1,60000,0.8789,191.21522903442383,40.482584953308105
-1,60000,0.8848,173.4979808330536,38.268474817276
-1,60000,0.8734,186.96032905578613,40.150593996047974
-1,60000,0.8877,223.7897391319275,49.91833996772766
-1,60000,0.8723,142.2233431339264,30.520757913589478
-1,60000,0.8733,147.34532403945923,31.470837116241455
-1,60000,0.8835,160.66114687919617,33.84006404876709
-1,60000,0.8831,152.48847699165344,32.61229610443115
-1,60000,0.882,156.22128820419312,33.977285861968994
