Branching Factor,Num Examples,Accuracy,Training Time (s),Test Time (s)
5,1,0.1151,0.0002980232238769531,1.3064310550689697
5,1,0.175,0.00022292137145996094,1.1836910247802734
5,1,0.1407,0.0002090930938720703,1.2155990600585938
5,1,0.1078,0.00019097328186035156,1.3873460292816162
5,1,0.1709,0.00021982192993164062,1.249798059463501
5,1,0.1435,0.0001862049102783203,1.162384033203125
5,1,0.1468,0.00021910667419433594,1.3448407649993896
5,1,0.1497,0.00020599365234375,1.3580400943756104
5,1,0.1847,0.00022101402282714844,1.3110339641571045
5,1,0.1925,0.00022602081298828125,1.2498528957366943
5,10,0.2902,0.0020020008087158203,3.327035903930664
5,10,0.4043,0.002649068832397461,3.184661865234375
5,10,0.2845,0.0028738975524902344,3.873934030532837
5,10,0.2608,0.0020940303802490234,3.308414936065674
5,10,0.4032,0.001967906951904297,3.340574026107788
5,10,0.3572,0.001950979232788086,3.888463020324707
5,10,0.2713,0.0019299983978271484,2.6450729370117188
5,10,0.2958,0.0024290084838867188,3.1745970249176025
5,10,0.3701,0.0020999908447265625,3.57155704498291
5,10,0.298,0.001961946487426758,3.7175610065460205
5,100,0.5463,0.04812502861022949,6.0013720989227295
5,100,0.4998,0.049455881118774414,6.1659581661224365
5,100,0.5044,0.047119140625,5.861932992935181
5,100,0.468,0.043856143951416016,5.874032974243164
5,100,0.4941,0.050208091735839844,6.042108058929443
5,100,0.5018,0.05259299278259277,6.8053810596466064
5,100,0.5189,0.056344032287597656,6.512507915496826
5,100,0.5117,0.04870486259460449,6.172907829284668
5,100,0.5112,0.04409503936767578,6.293592929840088
5,100,0.5147,0.04908299446105957,6.408555030822754
5,1000,0.6941,0.7230770587921143,9.029407978057861
5,1000,0.6691,0.7191109657287598,8.894036054611206
5,1000,0.6915,0.692950963973999,8.478076934814453
5,1000,0.6517,0.7505860328674316,9.087265014648438
5,1000,0.6542,0.7241039276123047,8.898159980773926
5,1000,0.6579,0.7164928913116455,9.057654857635498
5,1000,0.6599,0.7112879753112793,8.808483839035034
5,1000,0.6816,0.6920750141143799,8.556467056274414
5,1000,0.666,0.7455029487609863,9.091341972351074
5,1000,0.6929,0.7124369144439697,8.936104774475098
5,10000,0.789,9.707901000976562,11.839832067489624
5,10000,0.7961,9.458824157714844,11.349264860153198
5,10000,0.8034,10.07805585861206,11.749657154083252
5,10000,0.794,9.87136197090149,11.923678874969482
5,10000,0.7745,9.75266695022583,11.72303581237793
5,10000,0.8009,10.262732982635498,12.277405023574829
5,10000,0.802,10.287144899368286,12.38441014289856
5,10000,0.781,10.357270956039429,12.364766120910645
5,10000,0.7899,9.873028993606567,11.77796483039856
5,10000,0.7919,9.888158082962036,11.992155075073242
5,20000,0.8134,21.5034019947052,12.783421993255615
5,20000,0.8192,21.225455045700073,12.60496997833252
5,20000,0.8109,22.68461799621582,13.278777122497559
5,20000,0.817,21.958599090576172,12.93742299079895
5,20000,0.8154,22.60637092590332,13.226855993270874
5,20000,0.8175,20.890360832214355,12.393265962600708
5,20000,0.8141,20.694528102874756,12.365761041641235
5,20000,0.8161,21.97434711456299,13.066874980926514
5,20000,0.8224,21.48723602294922,12.769740104675293
5,20000,0.8193,21.791663885116577,12.800827980041504
5,30000,0.8293,33.54125118255615,13.280993938446045
5,30000,0.8337,33.45744609832764,13.23418116569519
5,30000,0.8249,33.77140498161316,13.392170906066895
5,30000,0.8267,32.63739204406738,13.01706314086914
5,30000,0.8255,34.41972494125366,13.741765022277832
5,30000,0.8171,34.06303906440735,13.325017929077148
5,30000,0.8314,32.07375192642212,12.736578941345215
5,30000,0.8395,32.66672611236572,12.924705028533936
5,30000,0.8356,33.58808398246765,13.280802011489868
5,30000,0.8401,34.85689187049866,13.7084481716156
5,40000,0.8392,44.862006187438965,13.312281131744385
5,40000,0.8475,45.648337841033936,13.456167936325073
5,40000,0.8377,46.02987194061279,13.674449920654297
5,40000,0.8321,44.77372717857361,13.381309986114502
5,40000,0.8392,46.63906192779541,13.765173196792603
5,40000,0.8453,48.18309712409973,14.081638097763062
5,40000,0.8462,46.73969793319702,13.776869058609009
5,40000,0.8406,46.24988913536072,14.001195907592773
5,40000,0.8332,47.045612812042236,13.821338176727295
5,40000,0.8433,47.70555806159973,13.940202951431274
5,50000,0.8493,58.19177484512329,13.713581085205078
5,50000,0.8437,58.61470818519592,13.825892210006714
5,50000,0.8383,58.73506212234497,13.996400833129883
5,50000,0.8432,60.584595918655396,14.151641130447388
5,50000,0.846,59.769848108291626,13.89860200881958
5,50000,0.8439,59.338995933532715,13.881990909576416
5,50000,0.8468,57.499890089035034,13.681640148162842
5,50000,0.8427,59.12589907646179,13.923797130584717
5,50000,0.855,58.21500587463379,13.903482913970947
5,50000,0.8442,61.22506499290466,14.329508066177368
5,60000,0.8435,72.24815082550049,14.235274076461792
5,60000,0.8511,72.89373588562012,14.363110065460205
5,60000,0.8542,76.08634209632874,14.703693866729736
5,60000,0.8517,70.3075008392334,13.867219924926758
5,60000,0.8522,70.55498600006104,13.816100120544434
5,60000,0.8491,71.139573097229,13.850488901138306
5,60000,0.8435,72.1304771900177,14.077000856399536
5,60000,0.8541,74.5478298664093,14.364264011383057
5,60000,0.8489,73.30935907363892,14.308382034301758
5,60000,0.8505,72.21433186531067,14.345332860946655
